Nozawa-onsen,   0.576,  22.3, 36.915342,  138.437612
Iiyama,         0.313,  23.3, 36.851734,  138.365489
Nagano,         0.4182, 23.8, 36.641177,  138.206105
Oomachi,        0.784,  21.1, 36.5212194, 137.8579429
Sugadaira,      1.253,  18.5, 36.521825,  138.332867
Karuizawa,      0.9991, 19.5, 36.3967028, 138.6187246
Matsumoto,      0.610,  23.6, 36.2386321, 137.9688808
Nagawa,         1.068,  19.7, 36.269897,  138.258172
Suwa,           0.760,  22.7, 36.039153,  138.114055
Nobeyama,       1.350,  18.4, 35.94816,   138.463734
Ina,            0.633,  22.7, 35.827466,  137.954069
Nagiso,         0.560,  22.3, 35.603807,  137.608961
Iida,           0.5164, 23.9, 35.51487,   137.821701
Minami-shinano, 0.407,  23.5, 35.330359,  137.96636
